time,IA,IB,IC,Power,PF,kVAh,I_mean,I_imbalance,dI_dt,kVAh_rate,PF_abs,cluster,state,Vab,Vbc,Vca,V_mean,V_imbalance,V_deviation,P_error
2025-12-24 11:40:00,7.625,9.685,6.219,2.17625,0.75025,4025.589,7.843000000000001,22.22686829666523,-1.7816666666666654,0.2662499999996726,0.75025,3,Running_Low,215.07675,214.704,210.6805,213.48708333333335,1.1418524818819034,2.9604166666666614,0.020337526709687085
2025-12-24 11:50:00,7.737,9.573,6.264,3.13575,0.80925,4026.123,7.858,21.097163761956025,0.0193333333333329,0.2919999999999163,0.80925,1,Running_High,214.7,214.26,210.51999999999998,213.16,1.0775321035655496,3.1090909090909107,25.127964439424872
2025-12-24 11:55:00,10.498,12.582,9.319,3.26975,0.82375,4026.45875,10.799666666666669,15.299403500185246,2.9416666666666664,0.3357499999997344,0.82375,3,Running_Low,214.8165,215.53425,211.596,213.98225,0.9802133371168467,2.7353409090909118,0.839250114261934
2025-12-24 12:00:00,10.356,12.275,8.886,3.23375,0.81125,4026.77275,10.505666666666666,16.176508002711834,-0.2940000000000005,0.3140000000003056,0.81125,1,Running_High,219.60925,219.1815,215.78325,218.19133333333335,0.960807940776511,0.822121212121206,0.3975528883482857
2025-12-24 12:05:00,10.313,12.245,9.077,3.25575,0.806,4027.12375,10.545,15.141693499151543,0.0393333333333334,0.3510000000001128,0.806,1,Running_High,220.75125,220.368,216.908,219.34241666666665,0.9651381641457646,0.29890151515152236,0.8223466660389964
2025-12-24 12:10:00,10.657,12.501,9.225,3.31375,0.8047500000000001,4027.465,10.794333333333334,15.214577320111966,0.2493333333333343,0.3412499999999454,0.8047500000000001,3,Running_Low,221.36725,221.01425,217.35750000000002,219.913,1.0095605184173222,0.03954545454544959,0.1498779111860248
2025-12-24 12:15:00,10.689,12.697,9.321,3.3015,0.8037500000000001,4027.80775,10.902333333333331,15.575385864858754,0.1079999999999987,0.3427499999997963,0.8037500000000001,3,Running_Low,221.7085,221.1605,217.69125,220.18675,0.9893721925147356,0.08488636363635878,1.2234066147323135
2025-12-24 12:20:00,10.789,12.77,9.082,3.2845,0.802,4028.1495,10.880333333333333,16.96359446544176,-0.0220000000000002,0.3417500000000473,0.802,3,Running_Low,221.98925,221.26975,217.59225,220.28375000000003,1.0706671390741036,0.12897727272728463,1.3655523601201465
2025-12-24 12:25:00,10.49,12.487,8.933,3.253,0.8017500000000001,4028.48775,10.636666666666668,16.748984981698385,-0.243666666666666,0.3382500000002437,0.8017500000000001,3,Running_Low,222.021,221.13400000000001,217.69400000000002,220.283,1.0375660151953394,0.12863636363635775,0.023504002331986937
2025-12-24 12:30:00,10.455,12.276,8.94,3.257,0.802,4028.8245,10.557,15.822083840750633,-0.0796666666666663,0.3367499999994834,0.802,3,Running_Low,222.05349999999999,221.30875,217.82375,220.39533333333335,1.0245105205992457,0.17969696969697938,0.7660787059256433
