ds,yhat
2026-05-12 08:34:00,7713.739206113243
2026-05-12 08:35:00,7713.768003580493
2026-05-12 08:36:00,7713.796959479612
2026-05-12 08:37:00,7713.826072408821
2026-05-12 08:38:00,7713.855340949591
2026-05-12 08:39:00,7713.884763666912
2026-05-12 08:40:00,7713.914339109593
2026-05-12 08:41:00,7713.944065810543
2026-05-12 08:42:00,7713.973942287063
2026-05-12 08:43:00,7714.003967041144
2026-05-12 08:44:00,7714.034138559763
2026-05-12 08:45:00,7714.064455315183
2026-05-12 08:46:00,7714.094915765262
2026-05-12 08:47:00,7714.125518353753
2026-05-12 08:48:00,7714.156261510622
2026-05-12 08:49:00,7714.187143652354
2026-05-12 08:50:00,7714.2181631822705
2026-05-12 08:51:00,7714.249318490849
2026-05-12 08:52:00,7714.280607956041
2026-05-12 08:53:00,7714.312029943596
2026-05-12 08:54:00,7714.343582807387
2026-05-12 08:55:00,7714.375264889735
2026-05-12 08:56:00,7714.407074521744
2026-05-12 08:57:00,7714.439010023629
2026-05-12 08:58:00,7714.471069705048
2026-05-12 08:59:00,7714.503251865443
2026-05-12 09:00:00,7714.535554794373
2026-05-12 09:01:00,7714.567976771853
2026-05-12 09:02:00,7714.600516068702
2026-05-12 09:03:00,7714.633170946876
2026-05-12 09:04:00,7714.665939659819
2026-05-12 09:05:00,7714.698820452806
2026-05-12 09:06:00,7714.73181156329
2026-05-12 09:07:00,7714.76491122125
2026-05-12 09:08:00,7714.798117649544
2026-05-12 09:09:00,7714.831429064252
2026-05-12 09:10:00,7714.864843675037
2026-05-12 09:11:00,7714.898359685489
2026-05-12 09:12:00,7714.931975293484
2026-05-12 09:13:00,7714.965688691536
2026-05-12 09:14:00,7714.999498067153
2026-05-12 09:15:00,7715.033401603188
2026-05-12 09:16:00,7715.067397478203
2026-05-12 09:17:00,7715.101483866818
2026-05-12 09:18:00,7715.13565894007
2026-05-12 09:19:00,7715.169920865773
2026-05-12 09:20:00,7715.204267808869
2026-05-12 09:21:00,7715.238697931791
2026-05-12 09:22:00,7715.273209394816
2026-05-12 09:23:00,7715.307800356424
2026-05-12 09:24:00,7715.342468973656
2026-05-12 09:25:00,7715.377213402466
2026-05-12 09:26:00,7715.412031798082
2026-05-12 09:27:00,7715.446922315362
2026-05-12 09:28:00,7715.481883109143
2026-05-12 09:29:00,7715.516912334604
2026-05-12 09:30:00,7715.552008147611
2026-05-12 09:31:00,7715.5871687050785
2026-05-12 09:32:00,7715.622392165316
2026-05-12 09:33:00,7715.657676688384
2026-05-12 09:34:00,7715.693020436438
2026-05-12 09:35:00,7715.728421574083
2026-05-12 09:36:00,7715.763878268719
2026-05-12 09:37:00,7715.79938869089
2026-05-12 09:38:00,7715.834951014623
2026-05-12 09:39:00,7715.87056341778
2026-05-12 09:40:00,7715.906224082396
2026-05-12 09:41:00,7715.941931195018
2026-05-12 09:42:00,7715.977682947046
2026-05-12 09:43:00,7716.013477535071
2026-05-12 09:44:00,7716.049313161208
2026-05-12 09:45:00,7716.085188033433
2026-05-12 09:46:00,7716.121100365907
2026-05-12 09:47:00,7716.157048379314
2026-05-12 09:48:00,7716.193030301181
2026-05-12 09:49:00,7716.229044366209
2026-05-12 09:50:00,7716.265088816586
2026-05-12 09:51:00,7716.301161902318
2026-05-12 09:52:00,7716.337261881541
2026-05-12 09:53:00,7716.3733870208325
2026-05-12 09:54:00,7716.409535595532
2026-05-12 09:55:00,7716.4457058900425
2026-05-12 09:56:00,7716.481896198144
2026-05-12 09:57:00,7716.518104823291
2026-05-12 09:58:00,7716.5543300789195
2026-05-12 09:59:00,7716.590570288743
2026-05-12 10:00:00,7716.626823787044
2026-05-12 10:01:00,7716.66308891897
2026-05-12 10:02:00,7716.699364040824
2026-05-12 10:03:00,7716.735647520341
2026-05-12 10:04:00,7716.771937736981
2026-05-12 10:05:00,7716.8082330822
2026-05-12 10:06:00,7716.844531959729
2026-05-12 10:07:00,7716.880832785841
2026-05-12 10:08:00,7716.917133989629
2026-05-12 10:09:00,7716.9534340132595
2026-05-12 10:10:00,7716.989731312237
2026-05-12 10:11:00,7717.026024355665
2026-05-12 10:12:00,7717.062311626495
2026-05-12 10:13:00,7717.098591621775
2026-05-12 10:14:00,7717.1348628528995
2026-05-12 10:15:00,7717.1711238458465
2026-05-12 10:16:00,7717.2073731414175
2026-05-12 10:17:00,7717.2436092954695
2026-05-12 10:18:00,7717.279830879143
2026-05-12 10:19:00,7717.316036479092
2026-05-12 10:20:00,7717.352224697698
2026-05-12 10:21:00,7717.38839415329
2026-05-12 10:22:00,7717.424543480359
2026-05-12 10:23:00,7717.460671329759
2026-05-12 10:24:00,7717.4967763689165
2026-05-12 10:25:00,7717.532857282028
2026-05-12 10:26:00,7717.568912770252
2026-05-12 10:27:00,7717.6049415519
2026-05-12 10:28:00,7717.640942362623
2026-05-12 10:29:00,7717.676913955591
2026-05-12 10:30:00,7717.7128551016685
2026-05-12 10:31:00,7717.748764589587
2026-05-12 10:32:00,7717.784641226109
2026-05-12 10:33:00,7717.8204838361935
2026-05-12 10:34:00,7717.856291263149
2026-05-12 10:35:00,7717.892062368789
2026-05-12 10:36:00,7717.9277960335785
2026-05-12 10:37:00,7717.963491156773
2026-05-12 10:38:00,7717.999146656561
2026-05-12 10:39:00,7718.034761470193
2026-05-12 10:40:00,7718.070334554111
2026-05-12 10:41:00,7718.10586488407
2026-05-12 10:42:00,7718.141351455256
2026-05-12 10:43:00,7718.1767932824
2026-05-12 10:44:00,7718.212189399881
2026-05-12 10:45:00,7718.247538861835
2026-05-12 10:46:00,7718.282840742248
2026-05-12 10:47:00,7718.318094135047
2026-05-12 10:48:00,7718.353298154196
2026-05-12 10:49:00,7718.388451933764
2026-05-12 10:50:00,7718.423554628016
2026-05-12 10:51:00,7718.458605411476
2026-05-12 10:52:00,7718.493603478997
2026-05-12 10:53:00,7718.5285480458215
2026-05-12 10:54:00,7718.563438347641
2026-05-12 10:55:00,7718.598273640641
2026-05-12 10:56:00,7718.633053201555
2026-05-12 10:57:00,7718.6677763277
2026-05-12 10:58:00,7718.702442337014
2026-05-12 10:59:00,7718.737050568085
2026-05-12 11:00:00,7718.771600380182
2026-05-12 11:01:00,7718.806091153267
2026-05-12 11:02:00,7718.840522288019
2026-05-12 11:03:00,7718.87489320584
2026-05-12 11:04:00,7718.909203348855
2026-05-12 11:05:00,7718.943452179923
2026-05-12 11:06:00,7718.977639182623
2026-05-12 11:07:00,7719.0117638612455
2026-05-12 11:08:00,7719.045825740783
2026-05-12 11:09:00,7719.079824366897
2026-05-12 11:10:00,7719.113759305908
2026-05-12 11:11:00,7719.147630144754
2026-05-12 11:12:00,7719.181436490958
2026-05-12 11:13:00,7719.215177972587
2026-05-12 11:14:00,7719.248854238212
2026-05-12 11:15:00,7719.282464956847
2026-05-12 11:16:00,7719.316009817907
2026-05-12 11:17:00,7719.349488531133
2026-05-12 11:18:00,7719.382900826541
2026-05-12 11:19:00,7719.416246454342
2026-05-12 11:20:00,7719.449525184875
2026-05-12 11:21:00,7719.482736808519
2026-05-12 11:22:00,7719.515881135616
2026-05-12 11:23:00,7719.5489579963805
2026-05-12 11:24:00,7719.581967240803
2026-05-12 11:25:00,7719.614908738557
2026-05-12 11:26:00,7719.647782378887
2026-05-12 11:27:00,7719.680588070515
2026-05-12 11:28:00,7719.713325741515
2026-05-12 11:29:00,7719.745995339205
2026-05-12 11:30:00,7719.778596830022
2026-05-12 11:31:00,7719.8111301993995
2026-05-12 11:32:00,7719.843595451636
2026-05-12 11:33:00,7719.875992609761
2026-05-12 11:34:00,7719.9083217153975
2026-05-12 11:35:00,7719.940582828623
2026-05-12 11:36:00,7719.972776027814
2026-05-12 11:37:00,7720.004901409504
2026-05-12 11:38:00,7720.036959088226
2026-05-12 11:39:00,7720.068949196349
2026-05-12 11:40:00,7720.100871883925
2026-05-12 11:41:00,7720.132727318511
2026-05-12 11:42:00,7720.164515685007
2026-05-12 11:43:00,7720.196237185477
2026-05-12 11:44:00,7720.227892038973
2026-05-12 11:45:00,7720.259480481351
2026-05-12 11:46:00,7720.291002765087
2026-05-12 11:47:00,7720.322459159089
2026-05-12 11:48:00,7720.3538499485
2026-05-12 11:49:00,7720.385175434508
2026-05-12 11:50:00,7720.416435934139
2026-05-12 11:51:00,7720.447631780061
2026-05-12 11:52:00,7720.478763320374
2026-05-12 11:53:00,7720.509830918401
2026-05-12 11:54:00,7720.540834952476
2026-05-12 11:55:00,7720.571775815727
2026-05-12 11:56:00,7720.60265391586
2026-05-12 11:57:00,7720.6334696749345
2026-05-12 11:58:00,7720.664223529139
2026-05-12 11:59:00,7720.694915928566
2026-05-12 12:00:00,7720.725547336979
2026-05-12 12:01:00,7720.75611823158
2026-05-12 12:02:00,7720.786629102778
2026-05-12 12:03:00,7720.817080453941
2026-05-12 12:04:00,7720.847472801168
2026-05-12 12:05:00,7720.877806673037
2026-05-12 12:06:00,7720.908082610362
2026-05-12 12:07:00,7720.938301165946
2026-05-12 12:08:00,7720.9684629043295
2026-05-12 12:09:00,7720.998568401542
2026-05-12 12:10:00,7721.028618244843
2026-05-12 12:11:00,7721.058613032468
2026-05-12 12:12:00,7721.0885533733735
2026-05-12 12:13:00,7721.118439886972
2026-05-12 12:14:00,7721.1482732028735
2026-05-12 12:15:00,7721.178053960621
2026-05-12 12:16:00,7721.207782809425
2026-05-12 12:17:00,7721.2374604079
2026-05-12 12:18:00,7721.267087423791
2026-05-12 12:19:00,7721.29666453371
2026-05-12 12:20:00,7721.326192422863
2026-05-12 12:21:00,7721.355671784773
2026-05-12 12:22:00,7721.3851033210185
2026-05-12 12:23:00,7721.414487740946
2026-05-12 12:24:00,7721.443825761404
